ldsId,passageTime,passagetimeMs,loopPairId,startLoop,endLoop,vehicleLength,vehicleSpeed
1537,1643084550,36,2,3,4,358,96
1537,1643084552,789,2,3,4,395,110
1537,1643084569,884,3,5,6,776,101
1537,1643084596,438,3,5,6,516,101
1537,1643084601,969,2,3,4,382,105
1537,1643084610,221,2,3,4,473,123
1537,1643084614,12,2,3,4,396,109
1537,1643084615,342,2,3,4,393,108
1537,1643084616,399,3,5,6,445,81
1537,1643084620,130,2,3,4,362,98
1537,1643084627,827,3,5,6,379,121
1537,1643084632,694,2,3,4,1649,83
1537,1643084636,863,3,5,6,919,82
1537,1643084637,533,1,1,2,266,142
1537,1643084637,556,2,3,4,399,144
1537,1643084640,820,1,1,2,723,129
1537,1643084646,127,2,3,4,990,89
1537,1643084652,640,3,5,6,461,109
1537,1643084655,370,1,1,2,467,147
1537,1643084663,293,2,3,4,373,96
1537,1643084668,757,2,3,4,358,89
1537,1643084675,928,3,5,6,400,79
1537,1643084677,169,2,3,4,455,121
1537,1643084679,626,2,3,4,365,92
1537,1643084684,778,3,5,6,408,84
1537,1643084701,394,3,5,6,656,76
1537,1643084710,842,2,3,4,448,103
1537,1643084712,908,2,3,4,360,102
1537,1643084715,39,2,3,4,416,96
1537,1643084721,951,2,3,4,437,106
1537,1643084736,501,3,5,6,707,93
1537,1643084754,843,3,5,6,390,94
1537,1643084771,5,2,3,4,351,112
1537,1643084771,717,1,1,2,104,103
1537,1643084771,741,2,3,4,189,105
1537,1643084772,265,3,5,6,354,110
1537,1643084807,918,3,5,6,444,160
1537,1643084814,624,2,3,4,382,116
1537,1643084817,589,1,1,2,396,121
1537,1643084819,908,2,3,4,402,98
1537,1643084842,64,2,3,4,461,106
1537,1643084847,54,3,5,6,506,96
1537,1643084854,110,2,3,4,401,97
1537,1643084868,536,1,1,2,405,101
1537,1643084868,563,2,3,4,500,85
1537,1643084869,272,3,5,6,351,93
1537,1643084870,883,2,3,4,338,86
1537,1643084876,740,1,1,2,405,97
1537,1643084877,309,2,3,4,985,79
1537,1643084877,333,1,1,2,413,96
1537,1643084879,51,1,1,2,460,121
1537,1643084882,819,2,3,4,411,106
1537,1643084885,738,2,3,4,331,107
1537,1643084886,286,1,1,2,456,124
1537,1643084888,201,2,3,4,373,82
1537,1643084894,615,2,3,4,474,93
1537,1643084903,857,2,3,4,1227,84
1537,1643084911,916,2,3,4,1676,77
1537,1643084928,405,2,3,4,373,103
1537,1643084930,108,2,3,4,981,79
1537,1643084930,745,1,1,2,550,118
1537,1643084932,631,2,3,4,374,106
1537,1643084937,707,2,3,4,326,102
1537,1643084953,216,3,5,6,411,93
1537,1643084964,840,2,3,4,343,102
1537,1643084972,709,2,3,4,363,119
1537,1643084979,865,2,3,4,394,100
1537,1643084998,275,2,3,4,423,111
1537,1643085000,877,2,3,4,459,122
1537,1643085009,28,3,5,6,401,98
1537,1643085013,26,2,3,4,371,96
1537,1643085015,267,1,1,2,416,126
1537,1643085015,974,3,5,6,319,105
1537,1643085015,997,2,3,4,336,108
1537,1643085017,553,2,3,4,429,102
1537,1643085031,637,3,5,6,337,111
1537,1643085033,200,2,3,4,372,124
1537,1643085035,889,2,3,4,352,115
1537,1643085041,181,2,3,4,395,111
1537,1643085041,824,1,1,2,411,182
1537,1643085045,276,2,3,4,397,126
1537,1643085050,513,2,3,4,342,100
1537,1643085064,692,2,3,4,369,106
1537,1643085076,757,1,1,2,400,111
1537,1643085078,524,2,3,4,2020,87
1537,1643085078,655,1,1,2,423,116
1537,1643085081,738,1,1,2,301,126
1537,1643085088,891,2,3,4,625,97
1537,1643085088,917,1,1,2,421,111
1537,1643085091,73,1,1,2,419,130
1537,1643085091,694,3,5,6,344,87
1537,1643085092,487,2,3,4,929,86
1537,1643085092,743,3,5,6,368,103
1537,1643085103,282,2,3,4,423,141
1537,1643085112,652,1,1,2,365,134
1537,1643085112,936,2,3,4,430,128
1537,1643085129,528,2,3,4,135,119
1537,1643085129,551,1,1,2,168,117
1537,1643085131,288,2,3,4,391,96
1537,1643085131,892,1,1,2,215,121
1537,1643085131,916,2,3,4,327,106
1537,1643085133,289,2,3,4,368,114
1537,1643085133,359,1,1,2,430,127
1537,1643085136,768,2,3,4,383,100
1537,1643085141,528,2,3,4,454,106
1537,1643085147,370,3,5,6,383,89
1537,1643085149,166,1,1,2,431,102
1537,1643085149,415,2,3,4,392,97
1537,1643085150,92,2,3,4,362,102
1537,1643085156,288,2,3,4,358,101
1537,1643085160,796,2,3,4,480,127
1537,1643085163,877,3,5,6,440,142
1537,1643085168,575,3,5,6,380,122
1537,1643085174,710,3,5,6,372,122
1537,1643085177,708,3,5,6,440,127
1537,1643085178,261,2,3,4,399,105
1537,1643085182,770,3,5,6,380,98
1537,1643085184,479,3,5,6,364,90
1537,1643085187,553,2,3,4,298,131
1537,1643085188,206,1,1,2,419,130
1537,1643085188,597,2,3,4,438,113
1537,1643085189,543,1,1,2,437,127
1537,1643085202,574,2,3,4,521,110
1537,1643085202,729,1,1,2,591,127
1537,1643085207,85,2,3,4,1535,88
